data	taxa_selic_acumulada
jan/74	1,46
fev/74	1,15
mar/74	1,16
abr/74	1,21
mai/74	1,24
jun/74	1,51
jul/74	1,62
ago/74	1
set/74	1,38
out/74	1,12
nov/74	1,46
dez/74	1,73
jan/75	1,79
fev/75	1,6
mar/75	1,03
abr/75	1,19
mai/75	1,46
jun/75	1,76
jul/75	1,65
ago/75	1,6
set/75	1,57
out/75	1,95
nov/75	2,35
dez/75	1,99
jan/76	2,36
fev/76	2,58
mar/76	2,53
abr/76	3,02
mai/76	2,59
jun/76	2,62
jul/76	3,36
ago/76	2,8
set/76	3,33
out/76	3,19
nov/76	2,97
dez/76	3,62
jan/77	3,45
fev/77	3,27
mar/77	3,14
abr/77	2,64
mai/77	2,21
jun/77	3,09
jul/77	3,29
ago/77	2,67
set/77	3,49
out/77	2,02
nov/77	2,09
dez/77	4,2
jan/78	3,6
fev/78	2,93
mar/78	2,98
abr/78	3,21
mai/78	2,51
jun/78	2,91
jul/78	3,7
ago/78	2,28
set/78	3,6
out/78	3,05
nov/78	3,4
dez/78	4,58
jan/79	3,66
fev/79	3,43
mar/79	3,91
abr/79	3,63
mai/79	2,86
jun/79	2,77
jul/79	1,89
ago/79	2,5
set/79	3,51
out/79	2,21
nov/79	2,08
dez/79	3,57
jan/80	2,95
fev/80	2,47
mar/80	3,57
abr/80	1,95
mai/80	2,03
jun/80	2,45
jul/80	3,21
ago/80	3,04
set/80	3,43
out/80	3,96
nov/80	4,04
dez/80	5,65
jan/81	5,29
fev/81	4,8
mar/81	5,05
abr/81	4,52
mai/81	5,7
jun/81	4,75
jul/81	5,6
ago/81	5,89
set/81	5,6
out/81	6,02
nov/81	5,5
dez/81	6,83
jan/82	6,02
fev/82	5,31
mar/82	6,56
abr/82	5,9
mai/82	6,13
jun/82	6,14
jul/82	6,61
ago/82	7,58
set/82	6,76
out/82	7,31
nov/82	8,15
dez/82	8,76
jan/83	7
fev/83	6,75
mar/83	9,43
abr/83	11,02
mai/83	11
jun/83	11,45
jul/83	10,65
ago/83	10,14
set/83	9,15
out/83	9,67
nov/83	9,39
dez/83	9,41
jan/84	10,29
fev/84	12,14
mar/84	11,26
abr/84	10,12
mai/84	9,77
jun/84	10,17
jul/84	12,06
ago/84	10,81
set/84	11,89
out/84	12,89
nov/84	10,86
dez/84	11,57
jan/85	13,94
fev/85	11,96
mar/85	13,09
abr/85	13,27
mai/85	12,31
jun/85	10,73
jul/85	10,03
ago/85	9,43
set/85	10,46
out/85	10,67
nov/85	10,46
dez/85	13,96
jan/86	16,67
fev/86	14,54
mar/86	
abr/86	
mai/86	
jun/86	1,27
jul/86	1,95
ago/86	2,57
set/86	2,94
out/86	1,96
nov/86	2,37
dez/86	5,47
jan/87	11
fev/87	19,61
mar/87	11,95
abr/87	15,3
mai/87	24,63
jun/87	18,02
jul/87	8,91
ago/87	8,09
set/87	7,99
out/87	9,45
nov/87	12,92
dez/87	14,38
jan/88	16,78
fev/88	18,35
mar/88	16,59
abr/88	20,25
mai/88	18,65
jun/88	20,17
jul/88	24,69
ago/88	22,63
set/88	26,25
out/88	29,79
