Date;21861 - Physical Production - Mineral extraction - Index;21862 - Physical Production - Manufacturing industry - Index;21863 - Physical Production - Capital goods - Index;21864 - Physical Production - Intermediate goods - Index;21865 - Physical Production - Consumer goods - Index;21866 - Physical Production - Durable goods - Index;21867 - Physical Production - Semidurable and nondurable goods - Index;21868 - Physical Production - Production of construction inputs - Index
01/2002;62.4 ;73.0 ;51.7 ;77.2 ;70.9 ;52.1 ;76.7 ;-
02/2002;58.9 ;70.4 ;50.4 ;74.8 ;67.4 ;50.3 ;72.7 ;-
03/2002;67.8 ;78.0 ;57.4 ;83.3 ;73.9 ;59.4 ;78.4 ;-
04/2002;66.5 ;80.4 ;61.2 ;84.3 ;77.6 ;66.5 ;81.1 ;-
05/2002;68.2 ;81.2 ;59.2 ;87.0 ;76.4 ;60.5 ;81.2 ;-
06/2002;67.9 ;78.1 ;54.8 ;85.3 ;71.9 ;53.0 ;77.8 ;-
07/2002;70.4 ;84.1 ;60.3 ;89.7 ;79.9 ;56.1 ;87.2 ;-
08/2002;70.8 ;84.4 ;57.3 ;89.1 ;82.6 ;56.4 ;90.6 ;-
09/2002;67.0 ;83.1 ;57.4 ;86.9 ;81.7 ;61.1 ;88.1 ;-
10/2002;70.6 ;90.3 ;63.0 ;91.8 ;92.6 ;70.5 ;99.4 ;-
11/2002;67.0 ;84.9 ;59.3 ;86.5 ;86.9 ;67.8 ;92.8 ;-
12/2002;63.9 ;75.3 ;52.0 ;78.4 ;75.2 ;53.7 ;81.8 ;-
01/2003;68.6 ;74.3 ;50.9 ;80.4 ;70.6 ;56.9 ;74.8 ;-
02/2003;63.5 ;72.3 ;53.5 ;77.6 ;68.1 ;56.6 ;71.6 ;-
03/2003;71.9 ;77.8 ;52.6 ;87.1 ;69.5 ;52.6 ;74.7 ;-
04/2003;69.1 ;77.0 ;53.9 ;84.5 ;70.6 ;57.2 ;74.7 ;-
05/2003;73.1 ;80.1 ;55.8 ;87.9 ;73.8 ;57.0 ;78.9 ;-
06/2003;66.3 ;76.9 ;53.1 ;84.5 ;70.2 ;51.6 ;76.0 ;-
07/2003;70.5 ;82.0 ;58.4 ;89.2 ;75.7 ;54.1 ;82.4 ;-
08/2003;73.3 ;82.2 ;57.9 ;88.9 ;77.2 ;56.2 ;83.7 ;-
09/2003;70.9 ;86.6 ;63.2 ;91.4 ;83.2 ;65.4 ;88.7 ;-
10/2003;73.0 ;91.1 ;70.4 ;94.0 ;89.5 ;72.0 ;94.8 ;-
11/2003;69.7 ;85.5 ;70.8 ;86.8 ;85.2 ;70.7 ;89.7 ;-
12/2003;70.5 ;78.3 ;59.6 ;81.5 ;77.4 ;61.8 ;82.2 ;-
01/2004;68.5 ;77.3 ;58.3 ;82.9 ;72.6 ;63.9 ;75.3 ;-
02/2004;66.3 ;74.5 ;58.4 ;81.0 ;67.6 ;58.2 ;70.5 ;-
03/2004;71.5 ;87.9 ;73.7 ;93.3 ;80.8 ;74.7 ;82.7 ;-
04/2004;69.7 ;83.0 ;67.7 ;89.1 ;75.6 ;69.1 ;77.6 ;-
05/2004;71.6 ;87.3 ;72.3 ;94.0 ;78.4 ;70.2 ;80.9 ;-
06/2004;72.5 ;87.0 ;71.9 ;93.3 ;79.0 ;70.0 ;81.8 ;-
07/2004;75.8 ;91.0 ;74.0 ;98.0 ;82.4 ;71.7 ;85.8 ;-
08/2004;78.8 ;93.0 ;76.2 ;98.4 ;87.0 ;77.5 ;89.9 ;-
09/2004;75.5 ;93.2 ;73.6 ;96.9 ;90.1 ;80.0 ;93.2 ;-
10/2004;77.6 ;94.5 ;74.8 ;98.3 ;91.4 ;78.8 ;95.3 ;-
11/2004;73.9 ;92.9 ;75.5 ;93.6 ;93.7 ;80.3 ;97.9 ;-
12/2004;75.2 ;85.3 ;68.5 ;87.0 ;85.8 ;69.9 ;90.7 ;-
01/2005;73.6 ;81.5 ;62.9 ;85.9 ;78.7 ;64.2 ;83.2 ;-
02/2005;67.3 ;77.0 ;60.0 ;81.3 ;73.4 ;67.9 ;75.2 ;-
03/2005;76.2 ;88.8 ;74.8 ;92.6 ;84.7 ;82.5 ;85.4 ;-
04/2005;79.3 ;87.5 ;70.5 ;91.8 ;84.3 ;79.0 ;86.0 ;-
05/2005;84.1 ;91.5 ;75.7 ;96.5 ;87.1 ;80.4 ;89.2 ;-
06/2005;83.7 ;91.9 ;78.4 ;96.3 ;87.6 ;81.5 ;89.4 ;-
07/2005;84.1 ;90.9 ;70.7 ;96.4 ;87.1 ;77.5 ;90.1 ;-
08/2005;85.0 ;96.3 ;78.2 ;99.3 ;94.8 ;85.4 ;97.8 ;-
09/2005;83.5 ;92.6 ;77.6 ;95.8 ;90.2 ;76.5 ;94.5 ;-
10/2005;86.0 ;94.2 ;75.4 ;97.4 ;93.2 ;79.3 ;97.5 ;-
11/2005;81.7 ;93.1 ;77.6 ;93.2 ;95.5 ;85.6 ;98.5 ;-
12/2005;82.4 ;86.9 ;71.7 ;87.2 ;90.0 ;78.3 ;93.6 ;-
01/2006;83.8 ;83.6 ;65.7 ;88.0 ;82.1 ;77.6 ;83.5 ;-
02/2006;76.0 ;80.5 ;65.7 ;83.1 ;79.9 ;77.3 ;80.7 ;-
03/2006;86.2 ;92.8 ;80.5 ;95.2 ;91.4 ;88.9 ;92.1 ;-
04/2006;83.1 ;85.8 ;69.3 ;90.3 ;83.2 ;79.8 ;84.2 ;-
05/2006;89.7 ;95.7 ;79.9 ;99.9 ;92.7 ;92.2 ;92.9 ;-
06/2006;84.5 ;91.5 ;75.8 ;95.6 ;88.5 ;83.8 ;90.0 ;-
07/2006;89.6 ;94.0 ;77.0 ;99.3 ;90.0 ;80.5 ;92.9 ;-
08/2006;89.8 ;99.1 ;84.0 ;102.0 ;97.5 ;92.3 ;99.1 ;-
09/2006;87.6 ;93.6 ;77.3 ;96.0 ;93.5 ;80.5 ;97.5 ;-
10/2006;90.1 ;97.9 ;82.1 ;98.5 ;100.3 ;90.7 ;103.2 ;-
11/2006;88.9 ;96.3 ;83.6 ;95.6 ;99.7 ;90.9 ;102.4 ;-
12/2006;89.0 ;86.8 ;76.9 ;88.1 ;88.1 ;72.8 ;92.9 ;-
01/2007;88.1 ;86.9 ;77.3 ;90.5 ;84.3 ;81.5 ;85.2 ;-
02/2007;80.8 ;82.7 ;74.8 ;85.6 ;80.1 ;75.9 ;81.4 ;-
03/2007;91.0 ;96.8 ;90.7 ;99.3 ;93.6 ;96.9 ;92.5 ;-
04/2007;87.7 ;90.8 ;81.2 ;94.7 ;87.0 ;87.2 ;87.0 ;-
05/2007;92.6 ;100.3 ;95.1 ;102.5 ;97.2 ;99.6 ;96.4 ;-
06/2007;91.8 ;97.2 ;88.5 ;100.2 ;94.1 ;91.1 ;95.1 ;-
07/2007;96.0 ;100.1 ;92.0 ;103.6 ;96.2 ;93.7 ;97.0 ;-
08/2007;95.9 ;105.5 ;101.9 ;105.9 ;104.2 ;103.5 ;104.4 ;-
09/2007;91.1 ;98.8 ;94.3 ;99.1 ;98.3 ;93.2 ;99.9 ;-
10/2007;93.9 ;108.7 ;104.6 ;106.9 ;110.1 ;110.5 ;110.0 ;-
11/2007;92.0 ;103.1 ;102.6 ;99.7 ;106.5 ;104.1 ;107.2 ;-
12/2007;98.6 ;92.3 ;90.6 ;93.8 ;91.5 ;79.6 ;95.1 ;-
01/2008;95.1 ;94.8 ;90.6 ;97.4 ;92.0 ;93.8 ;91.5 ;-
02/2008;88.6 ;91.2 ;94.1 ;94.4 ;85.0 ;90.8 ;83.2 ;-
03/2008;94.0 ;98.0 ;102.8 ;99.9 ;93.0 ;102.3 ;90.1 ;-
04/2008;91.4 ;99.7 ;106.2 ;100.1 ;96.0 ;106.0 ;92.9 ;-
05/2008;99.6 ;102.6 ;102.4 ;105.0 ;98.5 ;102.5 ;97.3 ;-
06/2008;98.5 ;103.6 ;110.0 ;105.3 ;98.2 ;104.3 ;96.3 ;-
07/2008;104.3 ;108.8 ;114.9 ;111.3 ;102.3 ;104.6 ;101.6 ;-
08/2008;104.1 ;107.1 ;114.5 ;107.6 ;103.7 ;109.3 ;101.9 ;-
09/2008;99.9 ;107.8 ;119.9 ;105.2 ;106.9 ;108.5 ;106.4 ;-
10/2008;100.8 ;108.9 ;124.8 ;104.1 ;110.3 ;107.1 ;111.3 ;-
11/2008;87.8 ;96.7 ;110.0 ;92.5 ;97.9 ;77.6 ;104.1 ;-
12/2008;77.5 ;79.2 ;80.1 ;77.6 ;81.2 ;48.5 ;91.2 ;-
01/2009;77.6 ;78.7 ;79.6 ;78.7 ;78.5 ;68.8 ;81.5 ;-
02/2009;71.8 ;76.3 ;73.4 ;75.8 ;77.3 ;72.9 ;78.7 ;-
03/2009;84.2 ;88.8 ;82.9 ;87.8 ;91.3 ;93.9 ;90.5 ;-
04/2009;80.8 ;85.5 ;77.1 ;85.4 ;87.2 ;87.5 ;87.1 ;-
05/2009;85.4 ;91.6 ;81.5 ;91.7 ;93.4 ;91.5 ;93.9 ;-
06/2009;89.1 ;92.4 ;84.3 ;93.8 ;91.9 ;93.7 ;91.4 ;-
07/2009;93.6 ;98.0 ;88.4 ;99.0 ;98.4 ;99.4 ;98.0 ;-
08/2009;93.4 ;100.0 ;88.8 ;100.1 ;101.9 ;104.7 ;101.0 ;-
09/2009;90.5 ;100.0 ;94.8 ;98.7 ;101.8 ;102.2 ;101.7 ;-
10/2009;92.8 ;106.4 ;104.1 ;102.7 ;110.4 ;113.5 ;109.5 ;-
11/2009;88.8 ;102.2 ;106.9 ;97.7 ;105.4 ;107.0 ;104.9 ;-
12/2009;92.4 ;94.2 ;99.1 ;92.9 ;94.4 ;88.6 ;96.2 ;-
01/2010;94.2 ;91.0 ;89.6 ;93.5 ;88.1 ;92.1 ;86.9 ;-
02/2010;86.8 ;89.1 ;91.2 ;89.2 ;88.0 ;92.4 ;86.7 ;-
03/2010;97.0 ;105.6 ;114.9 ;103.0 ;105.4 ;119.3 ;101.1 ;-
04/2010;95.0 ;99.6 ;104.6 ;99.8 ;97.0 ;105.9 ;94.2 ;-
05/2010;98.8 ;104.6 ;110.3 ;105.2 ;100.9 ;108.5 ;98.6 ;-
06/2010;97.4 ;102.8 ;106.5 ;104.7 ;97.8 ;99.3 ;97.4 ;-
07/2010;103.2 ;107.1 ;108.8 ;109.4 ;102.4 ;100.3 ;103.0 ;-
08/2010;103.4 ;108.4 ;114.0 ;107.7 ;107.0 ;111.5 ;105.7 ;-
09/2010;102.8 ;106.0 ;111.5 ;103.9 ;107.0 ;105.1 ;107.6 ;-
10/2010;100.8 ;108.2 ;111.7 ;105.1 ;110.7 ;111.3 ;110.5 ;-
11/2010;99.1 ;107.3 ;118.3 ;102.6 ;109.9 ;114.2 ;108.5 ;-
12/2010;102.0 ;96.2 ;105.3 ;95.1 ;96.5 ;94.3 ;97.1 ;-
01/2011;99.4 ;92.8 ;96.1 ;94.2 ;90.8 ;96.2 ;89.1 ;-
02/2011;90.7 ;95.7 ;109.1 ;93.0 ;95.2 ;107.6 ;91.3 ;-
03/2011;97.0 ;104.8 ;116.9 ;103.1 ;102.8 ;110.2 ;100.6 ;-
04/2011;96.5 ;97.6 ;104.3 ;98.4 ;94.2 ;97.4 ;93.2 ;-
05/2011;101.7 ;107.4 ;118.3 ;107.2 ;103.7 ;106.2 ;102.9 ;-
06/2011;101.2 ;102.9 ;114.5 ;104.3 ;96.8 ;97.9 ;96.4 ;-
07/2011;104.2 ;106.2 ;114.2 ;106.8 ;102.5 ;101.4 ;102.9 ;-
08/2011;104.3 ;111.2 ;126.2 ;108.7 ;109.7 ;112.9 ;108.7 ;-
09/2011;101.4 ;105.0 ;113.6 ;104.2 ;103.2 ;95.9 ;105.5 ;-
10/2011;102.7 ;106.5 ;113.6 ;104.8 ;106.5 ;100.7 ;108.3 ;-
11/2011;102.6 ;104.3 ;116.0 ;100.8 ;106.0 ;101.5 ;107.4 ;-
12/2011;104.2 ;95.1 ;108.3 ;94.1 ;94.5 ;88.9 ;96.2 ;-
01/2012;92.4 ;88.2 ;79.8 ;90.2 ;87.8 ;86.8 ;88.2 ;93.5
02/2012;93.6 ;89.4 ;98.4 ;89.9 ;87.5 ;82.0 ;89.2 ;93.6
03/2012;98.6 ;99.8 ;112.7 ;97.5 ;100.5 ;104.7 ;99.2 ;102.8
04/2012;96.2 ;92.3 ;97.5 ;92.5 ;91.6 ;92.8 ;91.2 ;95.0
05/2012;104.3 ;102.2 ;106.7 ;102.9 ;100.2 ;102.2 ;99.6 ;103.0
06/2012;100.5 ;98.0 ;96.8 ;100.1 ;94.9 ;96.7 ;94.4 ;97.7
07/2012;103.9 ;104.6 ;103.5 ;106.0 ;102.0 ;101.3 ;102.2 ;102.3
08/2012;104.0 ;112.5 ;110.7 ;111.4 ;112.2 ;117.3 ;110.6 ;108.3
09/2012;97.5 ;104.2 ;96.1 ;104.2 ;104.2 ;101.9 ;105.0 ;101.3
10/2012;108.1 ;112.3 ;108.8 ;110.5 ;115.6 ;117.2 ;115.1 ;109.3
11/2012;97.3 ;105.8 ;100.2 ;102.5 ;111.0 ;111.8 ;110.8 ;102.4
12/2012;103.5 ;90.8 ;88.9 ;92.5 ;92.4 ;85.4 ;94.6 ;90.9
01/2013;94.3 ;94.5 ;98.8 ;93.9 ;94.8 ;99.1 ;93.5 ;95.4
02/2013;85.4 ;88.4 ;103.4 ;86.7 ;86.4 ;84.9 ;86.8 ;88.7
03/2013;89.6 ;98.7 ;113.7 ;95.9 ;96.8 ;105.5 ;94.0 ;100.6
04/2013;90.6 ;103.2 ;120.1 ;98.8 ;103.0 ;111.8 ;100.2 ;104.1
05/2013;95.5 ;106.2 ;114.9 ;104.1 ;104.4 ;108.8 ;103.0 ;103.2
06/2013;97.1 ;102.3 ;112.1 ;100.8 ;100.7 ;103.6 ;99.8 ;100.3
07/2013;100.6 ;109.0 ;117.0 ;107.8 ;106.2 ;104.7 ;106.7 ;105.9
08/2013;101.9 ;113.3 ;122.1 ;110.5 ;112.3 ;114.7 ;111.5 ;109.3
09/2013;97.2 ;108.6 ;119.2 ;104.6 ;109.1 ;109.9 ;108.8 ;104.8
10/2013;104.0 ;113.7 ;127.1 ;108.5 ;116.3 ;117.7 ;115.9 ;110.9
11/2013;100.2 ;106.9 ;113.0 ;103.0 ;110.2 ;109.2 ;110.5 ;103.6
12/2013;99.9 ;88.9 ;85.0 ;90.1 ;91.3 ;83.1 ;93.9 ;86.8
01/2014;96.2 ;92.2 ;99.7 ;91.2 ;93.2 ;94.8 ;92.7 ;92.2
02/2014;86.8 ;93.0 ;112.3 ;87.7 ;95.8 ;104.6 ;93.0 ;93.2
03/2014;97.5 ;97.3 ;106.2 ;96.0 ;97.5 ;100.3 ;96.6 ;96.8
04/2014;95.9 ;96.0 ;103.5 ;94.3 ;97.0 ;98.7 ;96.5 ;94.0
05/2014;102.8 ;101.6 ;104.8 ;100.9 ;102.4 ;96.3 ;104.3 ;98.0
06/2014;101.1 ;94.1 ;89.0 ;98.2 ;90.1 ;69.7 ;96.6 ;88.4
07/2014;107.4 ;104.1 ;105.9 ;104.4 ;104.2 ;91.8 ;108.1 ;98.1
