data;bndeS_ind_transf
jan/95;175
fev/95;407
mar/95;725
abr/95;952
mai/95;1,336
jun/95;1,664
jul/95;1,956
ago/95;2,252
set/95;2,544
out/95;2,95
nov/95;3,385
dez/95;4,001
jan/96;196
fev/96;582
mar/96;1,017
abr/96;1,296
mai/96;1,655
jun/96;2,046
jul/96;2,368
ago/96;2,7
set/96;3,071
out/96;3,319
nov/96;3,61
dez/96;4,242
jan/97;317
fev/97;547
mar/97;760
abr/97;1,116
mai/97;1,429
jun/97;1,884
jul/97;2,795
ago/97;3,306
set/97;3,841
out/97;4,511
nov/97;5,13
dez/97;6,041
jan/98;481
fev/98;962
mar/98;1,622
abr/98;2,077
mai/98;2,636
jun/98;3,276
jul/98;3,827
ago/98;4,687
set/98;5,52
out/98;5,988
nov/98;6,741
dez/98;7,281
jan/99;425
fev/99;1,122
mar/99;1,809
abr/99;2,386
mai/99;2,939
jun/99;3,876
jul/99;4,436
ago/99;5,121
set/99;5,703
out/99;6,451
nov/99;7,083
dez/99;8,166
jan/00;383
fev/00;989
mar/00;1,924
abr/00;2,314
mai/00;2,859
jun/00;3,571
jul/00;4,247
ago/00;4,882
set/00;5,507
out/00;7,411
nov/00;8,999
dez/00;10,283
jan/01;945
fev/01;1,758
mar/01;3,754
abr/01;4,505
mai/01;5,464
jun/01;6,364
jul/01;7,011
ago/01;8,35
set/01;9,065
out/01;10,325
nov/01;11,532
dez/01;12,76
jan/02;1,024
fev/02;1,792
mar/02;2,401
abr/02;3,204
mai/02;4,903
jun/02;7,054
jul/02;8,448
ago/02;10,08
set/02;11,661
out/02;13,933
nov/02;15,441
dez/02;17,178
jan/03;1,235
fev/03;1,845
mar/03;2,513
abr/03;3,153
mai/03;3,866
jun/03;5,791
jul/03;6,385
ago/03;6,914
set/03;7,587
out/03;9,009
nov/03;13,48
dez/03;15,937
jan/04;1,107
fev/04;2,559
mar/04;4,302
abr/04;5,474
mai/04;5,976
jun/04;7,338
jul/04;8,251
ago/04;8,887
set/04;9,562
out/04;11,099
nov/04;12,842
dez/04;15,526
jan/05;2,089
fev/05;3,051
mar/05;4,797
abr/05;5,966
mai/05;7,363
jun/05;10,274
jul/05;11,523
ago/05;13,512
set/05;14,681
out/05;15,62
nov/05;19,479
dez/05;23,033
jan/06;634
fev/06;1,299
mar/06;2,385
abr/06;4,695
mai/06;6,089
jun/06;8,477
jul/06;10,937
ago/06;13,812
set/06;16,059
out/06;17,89
nov/06;20,484
dez/06;25,663
jan/07;2,254
fev/07;3,334
mar/07;4,943
abr/07;6,426
mai/07;8,118
jun/07;10,614
jul/07;14,002
ago/07;16,539
set/07;17,718
out/07;20,108
nov/07;22,884
dez/07;25,395
jan/08;2,09
fev/08;4,056
mar/08;7,439
abr/08;11,493
mai/08;13,341
jun/08;15,125
jul/08;16,684
ago/08;19,329
set/08;22,708
out/08;26,752
nov/08;30,116
dez/08;35,71
jan/09;1,97
fev/09;4,464
mar/09;7,713
abr/09;9,97
mai/09;10,976
jun/09;15,41
jul/09;37,157
ago/09;40,562
set/09;46,883
out/09;50,612
nov/09;53,93
dez/09;60,302
jan/10;2,048
fev/10;5,157
mar/10;7,589
abr/10;10,327
mai/10;12,944
jun/10;18,062
jul/10;23,354
ago/10;33,187
set/10;63,744
out/10;68,72
nov/10;71,989
dez/10;77,255
jan/11;2,559
fev/11;4,722
mar/11;6,95
abr/11;9,631
mai/11;12,717
jun/11;17,236
jul/11;20,467
ago/11;23,296
set/11;26,194
out/11;29,458
nov/11;33,994
dez/11;40,27
jan/12;1,532
fev/12;3,164
mar/12;6,166
abr/12;9,142
mai/12;11,096
jun/12;14,526
jul/12;22,036
ago/12;27,445
set/12;32,324
out/12;36,34
nov/12;40,124
dez/12;45,861
jan/13;3,23
fev/13;6,571
mar/13;13,238
abr/13;19,594
mai/13;25,008
jun/13;28,247
jul/13;32,351
ago/13;35,517
set/13;39,357
out/13;42,961
nov/13;46,929
dez/13;53,96
jan/14;4,209
fev/14;8,329
mar/14;12,178
abr/14;14,905
mai/14;16,954
jun/14;21,399
jul/14;24,967
ago/14;29,701
set/14;34,069
out/14;38,413
nov/14;41,858
dez/14;47,038
jan/15;2,508
fev/15;5,244
mar/15;9,349
abr/15;11,736
mai/15;15,051
jun/15;18,662
jul/15;21,507
ago/15;23,542
set/15;26,021
out/15;28,293
nov/15;30,679
dez/15;35,153
jan/16;1,497
fev/16;3,517
mar/16;5,392
abr/16;6,598
mai/16;8,494
jun/16;11,08
jul/16;14,541
ago/16;18,455
set/16;20,731
out/16;23,028
nov/16;24,761
dez/16;28,609
jan/17;933
fev/17;1,902
mar/17;3,117
abr/17;4,49
mai/17;5,842
jun/17;6,944
jul/17;8,73
ago/17;9,885
set/17;10,711
out/17;11,551
nov/17;12,646
dez/17;14,364
jan/18;400
fev/18;893
mar/18;1,668
abr/18;2,549
mai/18;3,602
jun/18;5,012
jul/18;5,737
ago/18;6,844
set/18;7,955
out/18;9,358
nov/18;10,571
dez/18;12,125
jan/19;1,022
fev/19;2,043
mar/19;2,574
abr/19;3,053
